Filename	Area	Mean	Min	Max	Median
072317_06_R3D_w523_t106.tif	0	NaN	255	31	255
072317_06_R3D_w523_t107.tif	0	NaN	255	30	255
072317_06_R3D_w523_t108.tif	0	NaN	255	30	255
072317_06_R3D_w523_t109.tif	0	NaN	255	28	255
072317_06_R3D_w523_t110.tif	0	NaN	255	27	255
072317_06_R3D_w523_t111.tif	0	NaN	255	26	255
072317_06_R3D_w523_t112.tif	0	NaN	255	25	255
072317_06_R3D_w523_t113.tif	0	NaN	255	25	255
072317_06_R3D_w523_t114.tif	0	NaN	255	24	255
072317_06_R3D_w523_t115.tif	0	NaN	255	24	255
072317_06_R3D_w523_t116.tif	0	NaN	255	25	255
072317_06_R3D_w523_t117.tif	0	NaN	255	24	255
072317_06_R3D_w523_t118.tif	0	NaN	255	24	255
072317_06_R3D_w523_t119.tif	0	NaN	255	24	255
072317_06_R3D_w523_t120.tif	0	NaN	255	24	255
072317_06_R3D_w523_t121.tif	0	NaN	255	24	255
072317_06_R3D_w523_t122.tif	0	NaN	255	24	255
072317_06_R3D_w523_t123.tif	0	NaN	255	24	255
072317_06_R3D_w523_t124.tif	0	NaN	255	24	255
072317_06_R3D_w523_t125.tif	0	NaN	255	24	255
072317_06_R3D_w523_t126.tif	0	NaN	255	23	255
072317_06_R3D_w523_t127.tif	0	NaN	255	24	255
072317_06_R3D_w523_t128.tif	0	NaN	255	24	255
072317_06_R3D_w523_t129.tif	0	NaN	255	24	255
072317_06_R3D_w523_t130.tif	0	NaN	255	23	255
072317_06_R3D_w523_t131.tif	0	NaN	255	23	255
072317_06_R3D_w523_t132.tif	0	NaN	255	24	255
072317_06_R3D_w523_t133.tif	0	NaN	255	23	255
072317_07_R3D_w523_t001.tif	39386	160.693190474	42	236	176
072317_07_R3D_w523_t002.tif	39439	159.364208017	42	234	174
072317_07_R3D_w523_t003.tif	39498	159.316294496	42	235	174
072317_07_R3D_w523_t004.tif	39518	158.669922567	42	233	174
072317_07_R3D_w523_t005.tif	39532	157.991019933	42	232	173
072317_07_R3D_w523_t006.tif	39527	157.541756268	42	231	172
072317_07_R3D_w523_t007.tif	39591	157.755222146	42	231	173
072317_07_R3D_w523_t008.tif	39651	157.637083554	42	231	173
072317_07_R3D_w523_t009.tif	39702	157.924134804	42	233	173
072317_07_R3D_w523_t010.tif	39740	157.289179668	42	232	173
072317_07_R3D_w523_t011.tif	39884	157.553806038	42	232	173
072317_07_R3D_w523_t012.tif	39965	157.207481546	42	233	173
072317_07_R3D_w523_t013.tif	40113	157.397302620	42	233	173
072317_07_R3D_w523_t014.tif	40231	156.531679551	42	233	172
